Date : 2023-10-12 00:00:57
Directory : d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo
Total : 153 files,  3032 codes, 71 comments, 1025 blanks, all 4128 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\TipoAdjuntoController.cs                   | C#       |         32 |          0 |          7 |         39 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\TipoNombreController.cs                    | C#       |         32 |          0 |          7 |         39 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\UnidadController.cs                        | C#       |         32 |          0 |          8 |         40 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Controllers\UsuarioController.cs                       | C#       |         39 |          0 |         11 |         50 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\PaginaGrupo.Api.csproj                                 | XML      |         21 |          0 |          5 |         26 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Program.cs                                             | C#       |         59 |          9 |         19 |         87 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\Properties\launchSettings.json                         | JSON     |         31 |          0 |          1 |         32 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\appsettings.Development.json                           | JSON     |          8 |          0 |          1 |          9 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Api\appsettings.json                                       | JSON     |         12 |          1 |          2 |         15 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AdjuntosDto.cs                                   | C#       |          7 |          0 |          5 |         12 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AsistenciaScoutDto.cs                            | C#       |          9 |          0 |          7 |         16 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AutoresDto.cs                                    | C#       |          6 |          0 |          4 |         10 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\DTOs\AvisoPagoDto.cs                                  | C#       |         10 |          0 |          8 |         18 |
